banco,tasa,tipo
Banamex,10,Media
Banamex,9.9066,Residencial
Banamex,9.8103,Residencial plus
Banamex,9.8605,Total general
BBVA Bancomer,9.3618,Interés Social
BBVA Bancomer,9.3618,Tradicional
BBVA Bancomer,8.5485,Media
BBVA Bancomer,8.5809,Residencial
BBVA Bancomer,8.1217,Residencial plus
BBVA Bancomer,8.4564,Total general
Santander,9.9566,Interés Social
Santander,9.9566,Tradicional
Santander,9.6495,Media
Santander,9.4952,Residencial
Santander,8.9859,Residencial plus
Santander,9.2102,Total general
HSBC,8.9618,Interés Social
HSBC,8.9618,Tradicional
HSBC,8.9273,Media
HSBC,8.8745,Residencial
HSBC,8.7518,Residencial plus
HSBC,8.8351,Total general
Banco del Bajío,10.6639,Media
Banco del Bajío,10.8405,Residencial
Banco del Bajío,12.1439,Residencial plus
Banco del Bajío,11.6348,Total general
Banca Mifel,11.9,Interés Social
Banca Mifel,11.9,Económica
Banca Mifel,11.9,Popular
Banca Mifel,11.9,Tradicional
Banca Mifel,11.9,Media
Banca Mifel,11.8738,Residencial
Banca Mifel,9.8255,Residencial plus
Banca Mifel,11.8499,Total general
Scotiabank,9.9071,Interés Social
Scotiabank,10.25,Popular
Scotiabank,9.9016,Tradicional
Scotiabank,9.6044,Media
Scotiabank,9.5627,Residencial
Scotiabank,9.6349,Residencial plus
Scotiabank,9.6092,Total general
Banregio,10.9912,Interés Social
Banregio,10.5,Popular
Banregio,11.093,Tradicional
Banregio,9.9982,Media
Banregio,10.044,Residencial
Banregio,10.0443,Residencial plus
Banregio,10.0619,Total general
Banorte,9.7058,Interés Social
Banorte,9.7058,Tradicional
Banorte,9.4676,Media
Banorte,9.2212,Residencial
Banorte,8.9045,Residencial plus
Banorte,9.051,Total general
Ve por Más,11.84,Interés Social
Ve por Más,11.9,Económica
Ve por Más,11.9,Popular
Ve por Más,11.811,Tradicional
Ve por Más,11.8174,Media
Ve por Más,10.142,Residencial
Ve por Más,8.7,Residencial plus
Ve por Más,11.3755,Total general
Total Banca Múltiple,11.1762,Interés Social
Total Banca Múltiple,11.9,Económica
Total Banca Múltiple,11.8598,Popular
Total Banca Múltiple,11.0942,Tradicional
Total Banca Múltiple,9.7861,Media
Total Banca Múltiple,9.2507,Residencial
Total Banca Múltiple,9.0639,Residencial plus
Total Banca Múltiple,9.2994,Total general
